spacecraft,groundstation,station_code,station_mode,filter_station,aos,los,aos_doy,los_doy,aos_time,los_time,aos_mt,doy,duration_min,peak_elevation,az_path,in_sun,mode,deleted,color,source_file,is_leafspace
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-21T01:22:01.985808+00:00,2026-09-21T01:31:54.253568+00:00,2026/264-01:22:01,2026/264-01:31:54,01:22:01,01:31:54,19:22:01,2026/264,9.9 min,13.6°,SW→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-21T01:45:22.127886+00:00,2026-09-21T01:56:21.747004+00:00,2026/264-01:45:22,2026/264-01:56:21,01:45:22,01:56:21,19:45:22,2026/264,11.0 min,32.0°,SW→E,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-21T01:46:53.567515+00:00,2026-09-21T01:55:50.132705+00:00,2026/264-01:46:53,2026/264-01:55:50,01:46:53,01:55:50,19:46:53,2026/264,8.9 min,9.3°,SW→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-21T01:54:25.133527+00:00,2026-09-21T02:01:58.326065+00:00,2026/264-01:54:25,2026/264-02:01:58,01:54:25,02:01:58,19:54:25,2026/264,7.6 min,5.6°,N→NE,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-21T03:01:29.959161+00:00,2026-09-21T03:03:52.405242+00:00,2026/264-03:01:29,2026/264-03:03:52,03:01:29,03:03:52,21:01:29,2026/264,2.4 min,0.4°,W→NW,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-21T03:22:16.265337+00:00,2026-09-21T03:33:24.825593+00:00,2026/264-03:22:16,2026/264-03:33:24,03:22:16,03:33:24,21:22:16,2026/264,11.1 min,38.1°,W→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-21T03:31:11.497889+00:00,2026-09-21T03:42:15.525919+00:00,2026/264-03:31:11,2026/264-03:42:15,03:31:11,03:42:15,21:31:11,2026/264,11.1 min,30.5°,NW→SE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-21T04:59:23.275365+00:00,2026-09-21T05:10:04.360511+00:00,2026/264-04:59:23,2026/264-05:10:04,04:59:23,05:10:04,22:59:23,2026/264,10.7 min,24.5°,W→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-21T05:08:44.893177+00:00,2026-09-21T05:19:18.125578+00:00,2026/264-05:08:44,2026/264-05:19:18,05:08:44,05:19:18,23:08:44,2026/264,10.6 min,21.8°,NW→S,NO,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-21T06:36:47.227766+00:00,2026-09-21T06:45:33.592779+00:00,2026/264-06:36:47,2026/264-06:45:33,06:36:47,06:45:33,00:36:47,2026/264,8.8 min,9.6°,W→S,YES,UHF,False,#00d7ff,passes_manual.pkl,False
